,name,link,site,zp
0,"Настройка сетевого оборудования,поддержка работоспособности ПК и офисной техники,выявление причин поломки и неисправности сетевой архитектуры. Поддержка существующих и разработка...Опыт работы с ОС Windows7,10, Linux. Опыт работы с БД MySQL, MSSQL. Опыт программирования на Python. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48297536?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 90 000 руб.
1,"Разработка WEB-приложений на стороне сервера для одного крупного заказчика.Опыт разработки сайтов с большой нагрузкой приветствуется, знание php, mysql, laravel. Самое главное - уметь решать нестандартные задачи и находить разные...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/45996504?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,80 000 – 180 000 руб.
2,"Предстоит разрабатывать индивидуальные ERP, CRM системы на PHP 7.x. в составе команды.Политика компании в отношении сотрудников - развитие профессионализма. Как в части профессиональных навыков, так и softskills. Уровень развития влияет на зарплату. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48345937?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,80 000 – 120 000 руб.
3,"Разработка backend к сайту. Создание web API. Умение разбираться в чужом коде.Хорошее знание ASP , net core .",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48265930?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,до 150 000 руб.
4,"Совершенствование существующих сайтов компании. Разработка сайтов и сервисов по новым направлениям (программирование, верстка, дизайн интерфейсов). Поиск и внедрение новых решений...PHP. ООП. Основы HTML/CSS/JS. Основы MySQL. Основы MVC. REST.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48261160?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,60 000 – 100 000 руб.
5,"В конце итерации обсуждаем что и как было (устная преза), что улучшить (ретро), и планируем следующую. Кроме программистов, есть бизнес......хорошо знает современный C# и алгоритмы, при этом необязательно иметь большой опыт промышленной разработки. Разработчики разного уровня: старшие, опытные, джуны.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/42222926?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,до 150 000 руб.
6,"Участие в проектах компании. Разработка и внедрение на платформе 1С 8 и 7.7 (Не типовые конфигурации). Знание механизмов платформы 1С 8 , управляемые формы. Знание архитектуры, объектов и механизмов платформы 1C 7.7 (Желательно).. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47608492?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,до 200 000 руб.
7,"Сопровождение, доработка и поддержка программных продуктов на базе 1С:Предприяте 8. Опыт внедрения 1С ERP в команде. Высшее техническое образование. Наличие сертификатов 1С:Специалист по платформе 1С 8.2. Опыт программирования на 1С 8...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47049457?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,140 000 – 200 000 руб.
8,"Следить за поставками кофе в квартиру, вовремя докупать.Напоминать, что полтергейстов нет, а просто ""косяк платформы, 100%"". Говорить что все кругом не правы, и только он прав.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48331279?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,80 000 – 150 000 руб.
9,"Знать С++11, STL, metaprogramming, Atomic, POSIX API, IPC. Знать фундаментальные структуры данных и алгоритмы. Уметь решать нестандартные задачи. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/45304742?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 400 000 руб.
10,"Разработка frontend / backend. Верстать и программировать сайты и создавать интерфейсы. Поддерживать бесперебойную работу сервера компании. Дорабатывать и улучшать CMS компании. Опыт непрерывной работы в качестве web-разработчиком от 2 лет. Уверенное знание PHP. Уверенное владение HTML5, CSS, JS. ",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47960010?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 100 000 руб.
11,"Разработка и поддержка скриптов для парсинга данных из Excel документов. Поддержка внутренних сервисов компании и разработка для них нового функционала.Мы работаем со следующим стеком технологий: C#, .NET Framework 4.5, WCF, SVN, Transact-SQL. Знание базовых алгоритмов, структур данных...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48333251?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,100 000 – 150 000 руб.
12,"Нам очень важно, чтобы у Вас был опыт внедрения производственного учета в 1С ERP. Также мы обращаем внимание на...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47738851?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,130 000 – 250 000 руб.
